pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,Fixation.stopped,Probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,14,0,56,0,,,,,137.07536160000018,,137.06214360000013,137.07536160000018,138.0760453999992,138.0760453999992,138.0760453999992,138.0760453999992,138.0760453999992,139.07507409999926,139.07507409999926,139.49445430000014,x,1,0.40860889999930805,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,14,1,57,1,,,,,139.5084523000005,,139.495060199999,139.5084523000005,140.50840760000028,140.50840760000028,140.50840760000028,140.50840760000028,140.50840760000028,141.5082100999989,141.5082100999989,142.16135399999985,v,1,0.6409031999992294,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,14,2,58,2,,,,,142.1750121999994,,142.16196089999903,142.1750121999994,143.1745307000001,143.1745307000001,143.1745307000001,143.1745307000001,143.1745307000001,144.174555399999,144.174555399999,144.6771962999992,c,1,0.4997348000015336,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,14,3,59,3,,,,,144.69117629999892,,144.67807709999943,144.69117629999892,145.69104490000063,145.69104490000063,145.69104490000063,145.69104490000063,145.69104490000063,146.69079779999993,146.69079779999993,147.02730109999902,z,1,0.3326140999997733,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,15,0,60,0,,,,,147.0410109000004,,147.02790249999998,147.0410109000004,148.04056420000052,148.04056420000052,148.04056420000052,148.04056420000052,148.04056420000052,149.04046779999953,149.04046779999953,149.44293990000006,x,1,0.38639319999856525,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,15,1,61,1,,,,,149.45726719999948,,149.44354290000047,149.45726719999948,150.45702899999924,150.45702899999924,150.45702899999924,150.45702899999924,150.45702899999924,151.45701089999966,151.45701089999966,151.85950020000018,v,1,0.3963511000001745,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,15,2,62,2,,,,,151.87351599999965,,151.86011189999954,151.87351599999965,152.87324049999916,152.87324049999916,152.87324049999916,152.87324049999916,152.87324049999916,153.8731929000005,153.8731929000005,154.2425146000005,x,0,0.3601534999997966,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,15,3,63,3,,,,,154.25639670000055,,154.24311529999977,154.25639670000055,155.2563326999989,155.2563326999989,155.2563326999989,155.2563326999989,155.2563326999989,156.25622769999973,156.25622769999973,156.6421664999998,z,1,0.3809832999995706,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,16,0,64,0,,,,,156.6562152000006,,156.64277120000042,156.6562152000006,157.65607830000044,157.65607830000044,157.65607830000044,157.65607830000044,157.65607830000044,158.65651819999948,158.65651819999948,159.17496000000028,x,1,0.5120641999983491,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,16,1,65,1,,,,,159.18934179999997,,159.1755573999999,159.18934179999997,160.1892470999992,160.1892470999992,160.1892470999992,160.1892470999992,160.1892470999992,161.18908269999883,161.18908269999883,161.5414041999993,v,1,0.33697249999931955,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,16,2,66,2,,,,,161.5555734999998,,161.54200459999993,161.5555734999998,162.5555328999999,162.5555328999999,162.5555328999999,162.5555328999999,162.5555328999999,163.5553875000005,163.5553875000005,163.8747031999992,c,1,0.31714300000021467,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,16,3,67,3,,,,,163.8885876000004,,163.87530829999923,163.8885876000004,164.88859880000018,164.88859880000018,164.88859880000018,164.88859880000018,164.88859880000018,165.88836040000024,165.88836040000024,166.20790619999934,z,1,0.31444069999997737,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,17,0,68,0,,,,,166.22161339999911,,166.2085189999998,166.22161339999911,167.2214511000002,167.2214511000002,167.2214511000002,167.2214511000002,167.2214511000002,168.22139339999922,168.22139339999922,168.62464619999992,x,1,0.39926350000132516,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,17,1,69,1,,,,,168.6382665000001,,168.62524569999914,168.6382665000001,169.6378212999989,169.6378212999989,169.6378212999989,169.6378212999989,169.6378212999989,170.6375595999998,170.6375595999998,171.14018980000037,v,1,0.48920600000019476,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,17,2,70,2,,,,,171.15427850000015,,171.14079800000036,171.15427850000015,172.154271899999,172.154271899999,172.154271899999,172.154271899999,172.154271899999,173.15431360000002,173.15431360000002,173.57330249999904,c,1,0.4166728999989573,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,17,3,71,3,,,,,173.58734709999953,,173.57390529999975,173.58734709999953,174.58707270000014,174.58707270000014,174.58707270000014,174.58707270000014,174.58707270000014,175.58697349999966,175.58697349999966,175.95609879999938,z,1,0.35962970000036876,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,18,0,72,0,,,,,175.97043250000024,,175.95670359999895,175.97043250000024,176.97069069999998,176.97069069999998,176.97069069999998,176.97069069999998,176.97069069999998,177.96992359999967,177.96992359999967,178.42259809999996,c,0,0.4469398999990517,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,18,1,73,1,,,,,178.43664270000045,,178.42321269999957,178.43664270000045,179.4366212999994,179.4366212999994,179.4366212999994,179.4366212999994,179.4366212999994,180.43642009999894,180.43642009999894,180.78878919999988,v,1,0.33900530000028084,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,18,2,74,2,,,,,180.80292849999933,,180.78939100000025,180.80292849999933,181.8029289999995,181.8029289999995,181.8029289999995,181.8029289999995,181.8029289999995,182.80296499999895,182.80296499999895,183.18851360000008,c,1,0.3791844999996101,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,18,3,75,3,,,,,183.20269799999915,,183.18911279999884,183.20269799999915,184.20257850000053,184.20257850000053,184.20257850000053,184.20257850000053,184.20257850000053,185.20239039999979,185.20239039999979,185.62156309999955,z,1,0.41369120000126713,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,19,0,76,0,,,,,185.63566859999992,,185.62217389999932,185.63566859999992,186.6355724999994,186.6355724999994,186.6355724999994,186.6355724999994,186.6355724999994,187.6353519000004,187.6353519000004,188.0879700000005,x,1,0.43542539999907603,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,19,1,77,1,,,,,188.10211369999888,,188.08857069999976,188.10211369999888,189.1019006000006,189.1019006000006,189.1019006000006,189.1019006000006,189.1019006000006,190.10189009999885,190.10189009999885,190.43767169999956,v,1,0.3298717999987275,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,19,2,78,2,,,,,190.4517689000004,,190.4382726999993,190.4517689000004,191.45174190000034,191.45174190000034,191.45174190000034,191.45174190000034,191.45174190000034,192.451472499999,192.451472499999,193.0375081000002,c,1,0.5839728999999352,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
